Estep = 0.000100; Niter = 21; Ntrial = 10000000
Energy, # of states, average Ev, average coupling
0.0809743,184.796983,0.0810202,0.00304579
0.0810743,141.652890,0.0811195,0.00262992
0.0811743,174.813577,0.0812282,0.00294790
0.0812743,162.986521,0.0813200,0.00277138
0.0813743,187.592579,0.0814220,0.00290991
0.0814743,182.952684,0.0815251,0.00294641
0.0815743,167.057189,0.0816239,0.00288301
0.0816743,223.423391,0.0817267,0.00280971
0.0817743,182.870698,0.0818255,0.00325728
0.0818743,155.755859,0.0819289,0.00316739
0.0819743,201.334055,0.0820208,0.00277872
0.0820743,210.824907,0.0821279,0.00286492
0.0821743,214.968807,0.0822235,0.00289480
0.0822743,210.782890,0.0823269,0.00325134
0.0823743,223.683385,0.0824233,0.00335293
0.0824743,235.812504,0.0825241,0.00305786
0.0825743,242.640972,0.0826239,0.00328416
0.0826743,193.931070,0.0827270,0.00342483
0.0827743,238.535650,0.0828227,0.00302350
0.0828743,246.337587,0.0829227,0.00284142
0.0829743,227.939229,0.0830240,0.00320833
0.0830743,223.515244,0.0831253,0.00346775
0.0831743,192.487042,0.0832269,0.00282793
0.0832743,234.062874,0.0833226,0.00295416
0.0833743,222.034017,0.0834271,0.00294742
0.0834743,234.117234,0.0835244,0.00289161
0.0835743,245.064419,0.0836262,0.00299583
0.0836743,232.497114,0.0837239,0.00309703
0.0837743,249.918378,0.0838254,0.00302582
0.0838743,269.733780,0.0839258,0.00303583
0.0839743,247.670980,0.0840263,0.00307578
0.0840743,265.130113,0.0841241,0.00303995
0.0841743,270.564006,0.0842249,0.00290957
0.0842743,259.283827,0.0843265,0.00299800
0.0843743,267.319537,0.0844225,0.00308956
0.0844743,268.245022,0.0845258,0.00320825
0.0845743,330.163729,0.0846214,0.00324231
0.0846743,283.072171,0.0847217,0.00351467
0.0847743,323.023238,0.0848209,0.00338561
0.0848743,294.276069,0.0849240,0.00331088
0.0849743,308.498540,0.0850249,0.00349455
0.0850743,305.384004,0.0851292,0.00336591
0.0851743,290.124465,0.0852245,0.00338942
0.0852743,303.560937,0.0853246,0.00320851
0.0853743,278.566761,0.0854235,0.00283059
0.0854743,307.166166,0.0855253,0.00301746
0.0855743,288.709505,0.0856241,0.00301421
0.0856743,286.519579,0.0857212,0.00314049
0.0857743,318.350532,0.0858253,0.00317573
0.0858743,350.074070,0.0859207,0.00308343
0.0859743,329.082826,0.0860225,0.00318861
0.0860743,352.053069,0.0861265,0.00313015
0.0861743,353.809179,0.0862234,0.00336818
0.0862743,337.449672,0.0863241,0.00338292
0.0863743,333.676063,0.0864267,0.00305173
0.0864743,365.641480,0.0865247,0.00305515
0.0865743,360.936626,0.0866220,0.00355036
0.0866743,393.161799,0.0867249,0.00315995
0.0867743,409.821931,0.0868242,0.00339652
0.0868743,391.242079,0.0869212,0.00353405
0.0869743,413.985613,0.0870250,0.00356180
0.0870743,402.394786,0.0871215,0.00372901
0.0871743,376.646049,0.0872261,0.00321223
0.0872743,404.667244,0.0873256,0.00332723
0.0873743,391.359255,0.0874233,0.00329399
0.0874743,403.595998,0.0875253,0.00308711
0.0875743,371.978877,0.0876244,0.00324221
0.0876743,422.630107,0.0877236,0.00302962
0.0877743,403.855118,0.0878214,0.00319390
0.0878743,375.305222,0.0879249,0.00312021
